problem_id,tier,model,answer_agreement_rate,pairwise_answer_agreement,original_vs_paraphrase_agreement,reasoning_similarity,n_versions,majority_answer,all_answers
simple_000,simple,claude-haiku,1.0,1.0,1.0,0.41155902544831535,5,2180,"['$2,180', '$2,180', '$2,180', '$2,180', '$2,180']"
simple_001,simple,claude-haiku,1.0,1.0,1.0,0.5811585777394316,5,1hour,"['1 hour', '1 hour', '1 hour', '1 hour', '1 hour']"
simple_002,simple,claude-haiku,1.0,1.0,1.0,0.3908168588167385,5,5hours,"['5 hours', '5 hours', '5 hours', '5 hours', '5 hours']"
simple_003,simple,claude-haiku,1.0,1.0,1.0,0.5169832918487657,5,12,"['$12', '$12', '$12', '$12', '$12']"
simple_004,simple,claude-haiku,1.0,1.0,1.0,0.32563908283374204,5,273yards,"['273 yards', '273 yards', '273 yards', '273 yards', '273 yards']"
simple_005,simple,claude-haiku,0.4,0.2,0.25,0.3620124113703144,5,45fairies,"['45 fairies', '45 fairies', '45', '45 fairies stayed behind', '45']"
simple_006,simple,claude-haiku,0.8,0.6,0.75,0.637611931509459,5,21yearsold,"['21 years old', '21 years old', '21 years', '21 years old', '21 years old']"
simple_007,simple,claude-haiku,0.6,0.3,0.5,0.4310653214226582,5,145percup,"['$145 per cup', '$145', '$145 per cup', '$145 per cup', 'A single cup costs $145']"
simple_008,simple,claude-haiku,0.8,0.6,0.0,0.4717008125910677,5,60students,"['60 students are enrolled this year in the calligraphy class.', '60 students', '60 students', '60 students', '60 students']"
simple_009,simple,claude-haiku,0.8,0.6,0.75,0.5636677883350865,5,122crabs,"['122 crabs', '122 crabs', '122 crabs', '122 crabs', '122']"
simple_010,simple,claude-haiku,1.0,1.0,1.0,0.4441435935425194,5,29liters,"['29 liters', '29 liters', '29 liters', '29 liters', '29 liters']"
simple_011,simple,claude-haiku,0.4,0.1,0.0,0.47736379635657966,5,80burritos,"['80 leftover burritos', '80 burritos were not eaten at the outing', '80 burritos', '80 burritos', '80 burritos were not consumed']"
simple_012,simple,claude-haiku,1.0,1.0,1.0,0.40431495806488416,5,36hours,"['36 hours', '36 hours', '36 hours', '36 hours', '36 hours']"
simple_013,simple,claude-haiku,1.0,1.0,1.0,0.4975156217365468,5,1430,"['$1,430', '$1,430', '$1,430', '$1,430', '$1,430']"
simple_014,simple,claude-haiku,0.4,0.2,0.0,0.4748154431717689,5,5poundsperday,"['5 pounds of insects per day', '5 pounds per day', '5 pounds', '5 pounds', '5 pounds per day']"
simple_015,simple,claude-haiku,0.4,0.1,0.0,0.43586505272869785,5,5,"['Joey is winning by 5 points', '5 points', '5', '5', ""Joey's score exceeds Marcy's score by 5 points""]"
simple_016,simple,claude-haiku,0.2,0.0,0.0,0.5203392399316578,5,eachchildgot5books,"['Each child got 5 books', 'Each child received 5 books', '5 books', 'Each kid got 5 books', 'Each child has 5 books']"
